Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
10.2	0.039	0.21600000000000003	0.039	0.04	0.039	0.04	0.19	0.039	0.042	0.316	0.04	0.27399999999999997	0.04	0.04	0.04	0.04	0.21	0.039	0.039	0.359	0.039	0.244	0.04	0.04	0.039	0.04	0.205	0.039	0.039	0.252
10.47	0.039	0.22899999999999998	0.039	0.04	0.039	0.04	0.2	0.039	0.042	0.34	0.04	0.293	0.04	0.04	0.039	0.04	0.222	0.039	0.039	0.385	0.039	0.255	0.04	0.04	0.039	0.04	0.218	0.039	0.039	0.27
10.73	0.039	0.242	0.039	0.039	0.039	0.04	0.21100000000000002	0.039	0.042	0.366	0.04	0.312	0.04	0.04	0.04	0.04	0.23399999999999999	0.039	0.039	0.41200000000000003	0.039	0.273	0.04	0.04	0.039	0.04	0.23	0.039	0.039	0.289
10.98	0.039	0.256	0.039	0.039	0.039	0.04	0.22399999999999998	0.039	0.043	0.395	0.04	0.335	0.04	0.04	0.04	0.04	0.249	0.039	0.039	0.439	0.039	0.318	0.04	0.04	0.039	0.04	0.242	0.039	0.039	0.312
11.25	0.039	0.271	0.039	0.039	0.039	0.04	0.23600000000000002	0.039	0.043	0.419	0.04	0.355	0.04	0.04	0.039	0.04	0.262	0.039	0.039	0.462	0.039	0.312	0.04	0.04	0.039	0.04	0.254	0.039	0.039	0.33399999999999996
11.52	0.039	0.28800000000000003	0.039	0.039	0.039	0.04	0.248	0.039	0.043	0.439	0.04	0.37799999999999995	0.04	0.04	0.04	0.04	0.273	0.039	0.039	0.478	0.039	0.335	0.04	0.04	0.039	0.04	0.267	0.039	0.039	0.35200000000000004
11.78	0.039	0.304	0.039	0.039	0.039	0.04	0.26	0.039	0.043	0.46	0.04	0.401	0.04	0.04	0.039	0.04	0.28600000000000003	0.039	0.039	0.496	0.039	0.353	0.04	0.04	0.039	0.04	0.27899999999999997	0.039	0.039	0.37
12.03	0.039	0.32	0.039	0.039	0.039	0.04	0.273	0.039	0.044000000000000004	0.48200000000000004	0.04	0.423	0.04	0.04	0.039	0.04	0.3	0.039	0.039	0.518	0.039	0.37799999999999995	0.04	0.04	0.039	0.04	0.292	0.039	0.039	0.389
12.3	0.039	0.33899999999999997	0.039	0.039	0.039	0.04	0.285	0.039	0.044000000000000004	0.499	0.04	0.44799999999999995	0.04	0.04	0.039	0.04	0.313	0.039	0.039	0.537	0.039	0.4	0.04	0.04	0.039	0.04	0.305	0.039	0.039	0.40399999999999997
12.57	0.039	0.358	0.039	0.039	0.039	0.04	0.298	0.039	0.044000000000000004	0.513	0.04	0.47	0.04	0.04	0.039	0.04	0.32299999999999995	0.039	0.039	0.546	0.039	0.423	0.04	0.04	0.039	0.04	0.316	0.039	0.039	0.41700000000000004
12.82	0.039	0.37799999999999995	0.039	0.039	0.039	0.04	0.311	0.039	0.045	0.528	0.04	0.49200000000000005	0.04	0.04	0.039	0.04	0.335	0.039	0.039	0.5589999999999999	0.039	0.43799999999999994	0.04	0.04	0.039	0.04	0.32899999999999996	0.039	0.039	0.429
13.08	0.039	0.396	0.039	0.04	0.039	0.04	0.32299999999999995	0.039	0.045	0.541	0.04	0.516	0.04	0.04	0.04	0.04	0.348	0.039	0.039	0.5720000000000001	0.039	0.46	0.04	0.04	0.039	0.04	0.341	0.039	0.039	0.44299999999999995
13.35	0.039	0.414	0.039	0.039	0.039	0.04	0.336	0.039	0.046	0.5529999999999999	0.04	0.539	0.04	0.04	0.039	0.04	0.358	0.039	0.039	0.583	0.039	0.484	0.04	0.04	0.039	0.04	0.35200000000000004	0.039	0.039	0.456
