Sample	Treatment	Strain	BiolRep	Day	TechRep	Plate
L1B4-200_3_171002_152958	1	B	4	200	3	171002_152958
L1B4-300_1_171012_201847	1	B	4	300	1	171012_201847
L1B4-300_2_171012_201847	1	B	4	300	2	171012_201847
L1B4-300_3_171012_201847	1	B	4	300	3	171012_201847
L1B5-100_1_170829_134555	1	B	5	100	1	170829_134555
L1B5-100_2_170829_134555	1	B	5	100	2	170829_134555
L1B5-100_3_170829_134555	1	B	5	100	3	170829_134555
L1B5-200_1_171002_152958	1	B	5	200	1	171002_152958
L1B5-200_2_171002_152958	1	B	5	200	2	171002_152958
L1B5-200_3_171002_152958	1	B	5	200	3	171002_152958
L1B5-300_1_171012_201847	1	B	5	300	1	171012_201847
L1B5-300_2_171012_201847	1	B	5	300	2	171012_201847
L1B5-300_3_171012_201847	1	B	5	300	3	171012_201847
L1D1-100_1_170920_133432	1	D	1	100	1	170920_133432
L1D1-100_2_170920_133432	1	D	1	100	2	170920_133432
L1D1-100_3_170920_133432	1	D	1	100	3	170920_133432
L1D1-200_1_171128_170113	1	D	1	200	1	171128_170113
L1D1-200_2_171128_170113	1	D	1	200	2	171128_170113
L1D1-200_3_171128_170113	1	D	1	200	3	171128_170113
L1D2-100_1_170920_133432	1	D	2	100	1	170920_133432
L1D2-100_2_170920_133432	1	D	2	100	2	170920_133432
L1D2-100_3_170920_133432	1	D	2	100	3	170920_133432
L1D2-200_1_171128_170113	1	D	2	200	1	171128_170113
L1D2-200_2_171128_170113	1	D	2	200	2	171128_170113
L1D2-200_3_171128_170113	1	D	2	200	3	171128_170113
L1D3-100_1_170920_133432	1	D	3	100	1	170920_133432
L1D3-100_2_170920_133432	1	D	3	100	2	170920_133432
L1D3-100_3_170920_133432	1	D	3	100	3	170920_133432
L1D3-200_1_171128_170113	1	D	3	200	1	171128_170113
L1D3-200_2_171128_170113	1	D	3	200	2	171128_170113
L1D3-200_3_171128_170113	1	D	3	200	3	171128_170113
L1D4-100_1_170901_135527	1	D	4	100	1	170901_135527
L1D4-100_2_170901_135527	1	D	4	100	2	170901_135527
L1D4-100_3_170901_135527	1	D	4	100	3	170901_135527
L1D4-200_1_171128_170113	1	D	4	200	1	171128_170113
L1D4-200_2_171128_170113	1	D	4	200	2	171128_170113
L1D4-200_3_171128_170113	1	D	4	200	3	171128_170113
L1D5-100_1_170901_135527	1	D	5	100	1	170901_135527
L1D5-100_2_170901_135527	1	D	5	100	2	170901_135527
L1D5-100_3_170901_135527	1	D	5	100	3	170901_135527
L1D5-200_1_171128_170113	1	D	5	200	1	171128_170113
L1D5-200_2_171128_170113	1	D	5	200	2	171128_170113
L1D5-200_3_171128_170113	1	D	5	200	3	171128_170113
L1F1-100_1_170901_135527	1	F	1	100	1	170901_135527
L1F1-100_2_170901_135527	1	F	1	100	2	170901_135527
L1F1-100_3_170901_135527	1	F	1	100	3	170901_135527
L1F1-200_1_180112_134047	1	F	1	200	1	180112_134047
L1F1-200_2_180112_134047	1	F	1	200	2	180112_134047
L1F1-200_3_180112_134047	1	F	1	200	3	180112_134047
L1F2-100_1_170901_135527	1	F	2	100	1	170901_135527
L1F2-100_2_170901_135527	1	F	2	100	2	170901_135527
L1F2-100_3_170901_135527	1	F	2	100	3	170901_135527
L1F2-200_1_180112_134047	1	F	2	200	1	180112_134047
L1F2-200_2_180112_134047	1	F	2	200	2	180112_134047
L1F2-200_3_180112_134047	1	F	2	200	3	180112_134047
L1F3-100_1_170901_135527	1	F	3	100	1	170901_135527
L1F3-100_2_170901_135527	1	F	3	100	2	170901_135527
L1F3-100_3_170901_135527	1	F	3	100	3	170901_135527
L1F3-200_1_180112_134047	1	F	3	200	1	180112_134047
L1F3-200_2_180112_134047	1	F	3	200	2	180112_134047
L1F3-200_3_180112_134047	1	F	3	200	3	180112_134047
L1F4-100_1_170901_135527	1	F	4	100	1	170901_135527
L1F4-100_2_170901_135527	1	F	4	100	2	170901_135527
L1F4-100_3_170901_135527	1	F	4	100	3	170901_135527
L1F4-200_1_180112_134047	1	F	4	200	1	180112_134047
L1F4-200_2_180112_134047	1	F	4	200	2	180112_134047
L1F4-200_3_180112_134047	1	F	4	200	3	180112_134047
